bench,l1_size,sim_seconds,sim_ticks,sim_insts,num_cycles,ipc,cpi,i_miss_rate,d_miss_rate,l2_miss_rate,branch_mispred_rate

blowfish,2kB,,,,560033.0,0.681842,1.466616,0.025393,0.498401,0.055218,0.05430989808257039
blowfish,4kB,,,,534959.0,0.7138,1.400952,0.022265,0.339221,0.079369,0.05432831699572001
blowfish,8kB,,,,425907.0,0.896567,1.115366,0.018225,0.08769,0.446847,0.0542953667953668
blowfish,16kB,,,,425628.0,0.897154,1.114635,0.015824,0.087072,0.461191,0.05412096413712478
blowfish,32kB,,,,402580.0,0.948517,1.054277,0.015072,0.043409,0.954295,0.05409401973933079
dijkstra,2kB,,,,71256264.0,0.644648,1.551234,0.157232,0.169279,0.000865,0.028563985108133304
dijkstra,4kB,,,,63610552.0,0.722132,1.384789,0.100704,0.120539,0.001213,0.029174574940744817
dijkstra,8kB,,,,48888778.0,0.939586,1.064299,0.011924,0.055702,0.003138,0.028600414597731688
dijkstra,16kB,,,,45298860.0,1.014048,0.986147,0.004238,0.036336,0.005027,0.02936174356175034
dijkstra,32kB,,,,40326718.0,1.139076,0.877905,0.000165,0.010925,0.018051,0.029364111802369832